Date,Video,Video title,Video publish time,Views
2020-11-15,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-11-16,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",0
2020-11-17,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-11-18,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",5
2020-11-19,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-11-20,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",7
2020-11-21,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-11-22,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-11-23,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-11-24,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-11-25,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",6
2020-11-26,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-11-27,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-11-28,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",5
2020-11-29,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",0
2020-11-30,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-12-01,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-12-02,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-12-03,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-12-04,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-12-05,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-12-06,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-12-07,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
2020-12-08,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-12-09,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",4
2020-12-10,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",6
2020-12-11,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",6
2020-12-12,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",0
2020-12-13,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",1
2020-12-14,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",3
2020-12-15,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",0
2020-12-16,1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",2
